Dia ,Cambio 
13/10/2011,13.36470
14/10/2011,13.27110
17/10/2011,13.29520
18/10/2011,13.44450
19/10/2011,13.37330
20/10/2011,13.66280
21/10/2011,13.59960
24/10/2011,13.48890
25/10/2011,13.44590
26/10/2011,13.49140
27/10/2011,13.19730
28/10/2011,13.11320
31/10/2011,13.18020
01/11/2011,13.62820
03/11/2011,13.41280
04/11/2011,13.46980
07/11/2011,13.45040
08/11/2011,13.38520
09/11/2011,13.52520
10/11/2011,13.56220
11/11/2011,13.41650
14/11/2011,13.51220
15/11/2011,13.56720
16/11/2011,13.58470
17/11/2011,13.63750
18/11/2011,13.70330
22/11/2011,13.98120
23/11/2011,14.12910
24/11/2011,14.17780
25/11/2011,14.24430
28/11/2011,14.03440
29/11/2011,13.95380
30/11/2011,13.61000
01/12/2011,13.58940
02/12/2011,13.54880
05/12/2011,13.47860
06/12/2011,13.49700
07/12/2011,13.51180
08/12/2011,13.65690
09/12/2011,13.64060
13/12/2011,13.77140
14/12/2011,13.94120
15/12/2011,13.82300
16/12/2011,13.84500
19/12/2011,13.85420
20/12/2011,13.77200
21/12/2011,13.85260
22/12/2011,13.81690
23/12/2011,13.81630
26/12/2011,13.84830
27/12/2011,13.96580
28/12/2011,13.99040
29/12/2011,13.97870
30/12/2011,13.94760
02/01/2012,13.93420
03/01/2012,13.68820
04/01/2012,13.71440
05/01/2012,13.74090
06/01/2012,13.72280
09/01/2012,13.74370
10/01/2012,13.62040
11/01/2012,13.65920
12/01/2012,13.59820
13/01/2012,13.62630
16/01/2012,13.54010
17/01/2012,13.46210
18/01/2012,13.32670
19/01/2012,13.25160
20/01/2012,13.22400
23/01/2012,13.13830
24/01/2012,13.17120
25/01/2012,13.13190
26/01/2012,12.93250
27/01/2012,12.95040
30/01/2012,13.00630
31/01/2012,13.00770
01/02/2012,12.89000
02/02/2012,12.80380
03/02/2012,12.71200
07/02/2012,12.64720
08/02/2012,12.68330
09/02/2012,12.72000
10/02/2012,12.78570
13/02/2012,12.73920
14/02/2012,12.77530
15/02/2012,12.76580
16/02/2012,12.88220
17/02/2012,12.78560
20/02/2012,12.67930
21/02/2012,12.74080
22/02/2012,12.82960
